group,label,name,step,size_x_mm,size_y_mm,size_z_mm
front,servo_holder_longer,Body259,step/front/servo_holder_longer__Body259.step,17.5,20.0,8.0
front,servo_holder_cable_longer,Body260,step/front/servo_holder_cable_longer__Body260.step,17.5,20.0,8.0
front,tower_left,Body262,step/front/tower_left__Body262.step,40.0,38.0,30.0
transmission,shaft_front_petcf,Body278,step/transmission/shaft_front_petcf__Body278.step,12.10339,11.65,90.0
optionals,collar_wheel_3mm,Body279,step/optionals/collar_wheel_3mm__Body279.step,16.0,16.0,3.0
front,balestra_holder_top,Body285,step/front/balestra_holder_top__Body285.step,22.0,5.6,7.0
old,wheel_train_w_pin_short,Body286,step/old/wheel_train_w_pin_short__Body286.step,17.0,15.856847,33.0
transmission,wheel_spring_holder_long,Body287,step/transmission/wheel_spring_holder_long__Body287.step,9.5,9.5,8.0
shims,shim_M12x1,Body288,step/shims/shim_M12x1__Body288.step,16.595542,16.595542,1.0
front,steering_block_M10,Body289,step/front/steering_block_M10__Body289.step,44.0,18.332335,47.0
ungrouped,M10x10-ThreadedRod,ThreadedRod001,step/ungrouped/M10x10-ThreadedRod__ThreadedRod001.step,13.105387,14.696617,11.39998
front,stop_pivot_ball_M10,Body290,step/front/stop_pivot_ball_M10__Body290.step,13.105387,14.696617,11.39998
optionals,link_central_rear,Body291,step/optionals/link_central_rear__Body291.step,20.0,15.0,8.0
optionals,rear_wing,Body292,step/optionals/rear_wing__Body292.step,47.824298,243.0,5.0
front,suspension_upper,Body296,step/front/suspension_upper__Body296.step,33.0,54.5,3.0
front,pivot_ball_holder_upper_right,Body297,step/front/pivot_ball_holder_upper_right__Body297.step,36.2,16.0,12.0
front,suspension_lower,Body299,step/front/suspension_lower__Body299.step,40.0,158.0,12.0
front,pivot_ball_holder_lower,Body300,step/front/pivot_ball_holder_lower__Body300.step,28.2,16.0,11.0
front,pivot_ball_holder_upper_left,Body301,step/front/pivot_ball_holder_upper_left__Body301.step,36.2,16.0,12.0
old,wheel_train_w_pin_nylon,Body302,step/old/wheel_train_w_pin_nylon__Body302.step,17.0,15.856847,32.5
front,boomerang_steering_block_sx,Body305,step/front/boomerang_steering_block_sx__Body305.step,29.0,20.0,9.0
front,boomerang_steeribg_block_dx,Body306,step/front/boomerang_steeribg_block_dx__Body306.step,29.0,20.0,9.0
optionals,front_spring,Body308,step/optionals/front_spring__Body308.step,69.0,24.0,4.0
old,esc_holder_light_mobile,Body310,step/old/esc_holder_light_mobile__Body310.step,74.0,55.0,3.0
old,mobile_lipo,Body311,step/old/mobile_lipo__Body311.step,8.117942,8.117942,8.0
old,lipo_barrier_dx,Body236,step/old/lipo_barrier_dx__Body236.step,168.8,40.0,27.0
old,lipo_barrier_sx,Body237,step/old/lipo_barrier_sx__Body237.step,176.8,40.0,27.0
old,lipo_barrier_front_10mm,Body312,step/old/lipo_barrier_front_10mm__Body312.step,21.0,40.0,27.0
belt,front_belt_tensioner_new_4mm,Body313,step/belt/front_belt_tensioner_new_4mm__Body313.step,8.0,18.0,12.0
old,lipo_barrier_rear,Body315,step/old/lipo_barrier_rear__Body315.step,46.0,40.0,27.0
belt,front_belt_tensioner_new_3mm,Body317,step/belt/front_belt_tensioner_new_3mm__Body317.step,8.0,18.0,11.0
shims,shim_10mm,Body319,step/shims/shim_10mm__Body319.step,8.0,8.0,10.0
central,esc_plate_rear,Body320,step/central/esc_plate_rear__Body320.step,49.0,110.0,3.0
bodyshell,tower_body_right,Body321,step/bodyshell/tower_body_right__Body321.step,9.545085,20.329569,30.0
front,suspension_upper_reinforce,Body323,step/front/suspension_upper_reinforce__Body323.step,114.0,32.000001,5.0
belt,front_belt_tensioner_lower,Body324,step/belt/front_belt_tensioner_lower__Body324.step,6.0,6.0,7.5
belt,front_belt_tensioner_lower_plate,Body325,step/belt/front_belt_tensioner_lower_plate__Body325.step,14.0,14.0,2.5
old,lipo_barrier_front_11,Body326,step/old/lipo_barrier_front_11__Body326.step,21.0,40.0,27.0
old,lipo_barrier_front_10.5mm,Body327,step/old/lipo_barrier_front_10.5mm__Body327.step,21.0,40.0,27.0
bodyshell,tower_body_left,Body328,step/bodyshell/tower_body_left__Body328.step,9.545085,20.329569,30.0
central,front_lipo_link_long,Body329,step/central/front_lipo_link_long__Body329.step,54.0,52.0,14.0
rear,rear_tower_left,Body332,step/rear/rear_tower_left__Body332.step,93.0,40.0,9.0
rear,rear_belt_tensioner_support,Body335,step/rear/rear_belt_tensioner_support__Body335.step,16.999921,28.051542,4.0
rear,rear_belt_tensioner_shaft,Body336,step/rear/rear_belt_tensioner_shaft__Body336.step,7.0,7.0,4.4
rear,rear_belt_tensioner_shim,Body337,step/rear/rear_belt_tensioner_shim__Body337.step,6.0,6.0,7.0
optionals,esc_capacitor_plate,Body338,step/optionals/esc_capacitor_plate__Body338.step,14.5,12.0,35.0
central,lipo_barrier_front_10mm001,Body340,step/central/lipo_barrier_front_10mm001__Body340.step,8.0,40.0,27.0
central,lipo_lateral_blocker,Body341,step/central/lipo_lateral_blocker__Body341.step,160.0,4.0,13.8
central,lipo_barrier_rear003,Body342,step/central/lipo_barrier_rear003__Body342.step,20.0,40.0,27.0
transmission,wheel_drive_shaft,Body346,step/transmission/wheel_drive_shaft__Body346.step,17.0,16.0,32.0
front,front_upperdeck,Body347,step/front/front_upperdeck__Body347.step,108.299052,50.0,29.006226
ungrouped,drive_train_petcf001,Body348,step/ungrouped/drive_train_petcf001__Body348.step,20.002596,19.002562,30.0
ungrouped,pulley_petcf001,Body349,step/ungrouped/pulley_petcf001__Body349.step,30.0,30.0,11.0
old,pulley_front001,Fusion005,step/old/pulley_front001__Fusion005.step,30.0,30.0,30.0
front,drive_shaft_plastic_cap,Body350,step/front/drive_shaft_plastic_cap__Body350.step,13.5,10.5,6.0
ungrouped,drive_train_petcf002,Body351,step/ungrouped/drive_train_petcf002__Body351.step,20.002596,19.002562,30.0
ungrouped,pulley_petcf002,Body352,step/ungrouped/pulley_petcf002__Body352.step,30.0,30.0,11.0
transmission,pulley_front_capped,Fusion006,step/transmission/pulley_front_capped__Fusion006.step,30.0,30.0,30.0
transmission,wheel_spring_holder_short,Body353,step/transmission/wheel_spring_holder_short__Body353.step,8.0,8.0,3.5
rear,rear_upperdeck,Body354,step/rear/rear_upperdeck__Body354.step,99.392828,71.8826,60.400212
rear,rear_belt_tensioner_support_longer,Body355,step/rear/rear_belt_tensioner_support_longer__Body355.step,17.0,36.706411,4.0
optionals,double_fan_support,Body356,step/optionals/double_fan_support__Body356.step,90.5,48.0,5.0
central,lipo_holder_lighter,Body357,step/central/lipo_holder_lighter__Body357.step,162.0,8.0,27.0
front,pivot_ball_holder_lower_improved_steering,Body358,step/front/pivot_ball_holder_lower_improved_steering__Body358.step,28.2,14.0,11.0
front,pivot_ball_holder_upper_left_steering,Body359,step/front/pivot_ball_holder_upper_left_steering__Body359.step,36.2,14.0,12.0
front,pivot_ball_holder_upper_right_steering,Body360,step/front/pivot_ball_holder_upper_right_steering__Body360.step,36.2,14.0,12.0
