group,label,name,stl,triangles,size_x_mm,size_y_mm,size_z_mm
transmission,shaft_rear,Body172,stl/transmission/shaft_rear__Body172.stl,1292,11.5,11.5,219.8
shims,shim_left_metal,Body174,stl/shims/shim_left_metal__Body174.stl,288,14.0,14.0,2.8
shims,shim_right_metal,Body176,stl/shims/shim_right_metal__Body176.stl,288,14.0,14.0,1.4
shims,shim_rear_metal,Body177,stl/shims/shim_rear_metal__Body177.stl,600,11.383822,16.5,11.383822
bodyshell,rear_body_holder,Body178,stl/bodyshell/rear_body_holder__Body178.stl,2200,8.0,80.0,8.0
bodyshell,tower_body,Body180,stl/bodyshell/tower_body__Body180.stl,1864,8.0,20.0,30.0
rear,esc_holder_rear,Body181,stl/rear/esc_holder_rear__Body181.stl,1364,70.0,88.0,12.0
bodyshell,bumper,Body186,stl/bodyshell/bumper__Body186.stl,4576,259.987578,44.0,8.0
bodyshell,towers_holder,Body188,stl/bodyshell/towers_holder__Body188.stl,972,94.0,12.0,3.0
bodyshell,bodyshell_rear_holder,Body198,stl/bodyshell/bodyshell_rear_holder__Body198.stl,1004,220.0,18.0,14.0
front,balestra_holder_down,Body202,stl/front/balestra_holder_down__Body202.stl,460,30.0,4.4,7.0
assembly,front_tire,Body213,stl/assembly/front_tire__Body213.stl,292,30.0,54.900931,54.950443
backup,shaft_rear_metal_backup,Body214,stl/backup/shaft_rear_metal_backup__Body214.stl,1292,11.5,11.5,219.8
shims,shim_rear0_12_5mm,Body223,stl/shims/shim_rear0_12_5mm__Body223.stl,600,11.383822,13.5,11.383822
shims,shim_rear0_13_5mm,Body224,stl/shims/shim_rear0_13_5mm__Body224.stl,600,11.383822,14.5,11.383822
backup,shaft_carbon_fiber_filler,Body225,stl/backup/shaft_carbon_fiber_filler__Body225.stl,464,9.0,9.0,11.0
belt,front_belt_holder,Body228,stl/belt/front_belt_holder__Body228.stl,1140,10.5,14.0,17.0
transmission,spur_holder,Body229,stl/transmission/spur_holder__Body229.stl,1618,30.5,30.5,16.0
bodyshell,bumper_holder,Body230,stl/bodyshell/bumper_holder__Body230.stl,1562,83.161336,45.0,14.0
chassis,chassis_4mm,Body234,stl/chassis/chassis_4mm__Body234.stl,12788,361.473012,90.008158,4.0
rear,rear_tower_right,Body235,stl/rear/rear_tower_right__Body235.stl,1970,93.0,50.0,9.0
optionals,fan_support,Body238,stl/optionals/fan_support__Body238.stl,1368,49.0,48.0,5.0
transmission,pulley_rear,Body246,stl/transmission/pulley_rear__Body246.stl,11388,34.0,34.0,21.0
optionals,turnbuckle_4mm,Body247,stl/optionals/turnbuckle_4mm__Body247.stl,432,10.2,41.201286,5.0
ungrouped,drive_train_petcf,Body251,stl/ungrouped/drive_train_petcf__Body251.stl,1110,19.999981,18.999962,30.0
ungrouped,pulley_petcf,Body252,stl/ungrouped/pulley_petcf__Body252.stl,10376,30.0,30.0,11.0
old,pulley_front,Fusion004,stl/old/pulley_front__Fusion004.stl,11340,30.0,30.0,30.0
transmission,shaft_front_hollow_petcf,Body253,stl/transmission/shaft_front_hollow_petcf__Body253.stl,1668,12.0,11.581164,90.0
front,tower_bearing_plug,Body,stl/front/tower_bearing_plug__Body.stl,260,20.1,19.5,12.0
front,tower_right,Body255,stl/front/tower_right__Body255.stl,1408,40.0,38.0,30.0
central,lipo_holder_flex,Body256,stl/central/lipo_holder_flex__Body256.stl,1048,162.0,8.0,27.0
front,servo_holder_longer,Body259,stl/front/servo_holder_longer__Body259.stl,564,17.5,20.0,7.974219
front,servo_holder_cable_longer,Body260,stl/front/servo_holder_cable_longer__Body260.stl,528,17.5,20.0,8.0
front,tower_left,Body262,stl/front/tower_left__Body262.stl,1404,40.0,38.0,30.0
transmission,shaft_front_petcf,Body278,stl/transmission/shaft_front_petcf__Body278.stl,1320,12.099895,11.630093,90.0
optionals,collar_wheel_3mm,Body279,stl/optionals/collar_wheel_3mm__Body279.stl,288,16.0,16.0,3.0
front,balestra_holder_top,Body285,stl/front/balestra_holder_top__Body285.stl,460,22.0,5.6,7.0
old,wheel_train_w_pin_short,Body286,stl/old/wheel_train_w_pin_short__Body286.stl,1420,16.976733,14.290365,33.0
transmission,wheel_spring_holder_long,Body287,stl/transmission/wheel_spring_holder_long__Body287.stl,284,9.5,9.5,8.0
shims,shim_M12x1,Body288,stl/shims/shim_M12x1__Body288.stl,288,16.595542,16.595542,1.0
front,steering_block_M10,Body289,stl/front/steering_block_M10__Body289.stl,6932,44.0,17.5,47.0
ungrouped,M10x10-ThreadedRod,ThreadedRod001,stl/ungrouped/M10x10-ThreadedRod__ThreadedRod001.stl,8210,9.84675,9.849546,10.0
front,stop_pivot_ball_M10,Body290,stl/front/stop_pivot_ball_M10__Body290.stl,8432,9.84675,9.849546,9.45614
optionals,link_central_rear,Body291,stl/optionals/link_central_rear__Body291.stl,316,20.0,15.0,8.0
optionals,rear_wing,Body292,stl/optionals/rear_wing__Body292.stl,982,47.819401,243.0,5.0
front,suspension_upper,Body296,stl/front/suspension_upper__Body296.stl,1068,33.0,54.5,3.0
front,pivot_ball_holder_upper_right,Body297,stl/front/pivot_ball_holder_upper_right__Body297.stl,970,36.2,16.0,12.0
front,suspension_lower,Body299,stl/front/suspension_lower__Body299.stl,2960,40.0,158.0,12.0
front,pivot_ball_holder_lower,Body300,stl/front/pivot_ball_holder_lower__Body300.stl,732,28.2,16.0,11.0
front,pivot_ball_holder_upper_left,Body301,stl/front/pivot_ball_holder_upper_left__Body301.stl,966,36.2,16.0,12.0
old,wheel_train_w_pin_nylon,Body302,stl/old/wheel_train_w_pin_nylon__Body302.stl,1198,16.976733,14.290365,32.5
front,boomerang_steering_block_sx,Body305,stl/front/boomerang_steering_block_sx__Body305.stl,628,29.0,20.0,9.0
front,boomerang_steeribg_block_dx,Body306,stl/front/boomerang_steeribg_block_dx__Body306.stl,628,29.0,20.0,9.0
optionals,front_spring,Body308,stl/optionals/front_spring__Body308.stl,1660,69.0,24.0,4.0
old,esc_holder_light_mobile,Body310,stl/old/esc_holder_light_mobile__Body310.stl,608,74.0,55.0,3.0
old,mobile_lipo,Body311,stl/old/mobile_lipo__Body311.stl,1280,7.5,7.5,8.0
old,lipo_barrier_dx,Body236,stl/old/lipo_barrier_dx__Body236.stl,784,168.8,40.0,27.0
old,lipo_barrier_sx,Body237,stl/old/lipo_barrier_sx__Body237.stl,1080,176.8,40.0,27.0
old,lipo_barrier_front_10mm,Body312,stl/old/lipo_barrier_front_10mm__Body312.stl,1268,21.0,40.0,27.0
belt,front_belt_tensioner_new_4mm,Body313,stl/belt/front_belt_tensioner_new_4mm__Body313.stl,844,8.0,18.0,12.0
old,lipo_barrier_rear,Body315,stl/old/lipo_barrier_rear__Body315.stl,480,46.0,40.0,27.0
belt,front_belt_tensioner_new_3mm,Body317,stl/belt/front_belt_tensioner_new_3mm__Body317.stl,844,8.0,18.0,11.0
shims,shim_10mm,Body319,stl/shims/shim_10mm__Body319.stl,288,8.0,8.0,10.0
central,esc_plate_rear,Body320,stl/central/esc_plate_rear__Body320.stl,1868,49.0,110.0,3.0
bodyshell,tower_body_right,Body321,stl/bodyshell/tower_body_right__Body321.stl,2160,8.0,20.0,30.0
front,suspension_upper_reinforce,Body323,stl/front/suspension_upper_reinforce__Body323.stl,1496,114.0,32.000001,5.0
belt,front_belt_tensioner_lower,Body324,stl/belt/front_belt_tensioner_lower__Body324.stl,504,6.0,6.0,7.5
belt,front_belt_tensioner_lower_plate,Body325,stl/belt/front_belt_tensioner_lower_plate__Body325.stl,432,14.0,14.0,2.5
old,lipo_barrier_front_11,Body326,stl/old/lipo_barrier_front_11__Body326.stl,1268,21.0,40.0,27.0
old,lipo_barrier_front_10.5mm,Body327,stl/old/lipo_barrier_front_10.5mm__Body327.stl,1268,21.0,40.0,27.0
bodyshell,tower_body_left,Body328,stl/bodyshell/tower_body_left__Body328.stl,2160,8.0,20.0,30.0
central,front_lipo_link_long,Body329,stl/central/front_lipo_link_long__Body329.stl,1748,54.0,52.0,14.0
rear,rear_tower_left,Body332,stl/rear/rear_tower_left__Body332.stl,2136,93.0,40.0,9.0
rear,rear_belt_tensioner_support,Body335,stl/rear/rear_belt_tensioner_support__Body335.stl,768,16.999921,28.051522,4.0
rear,rear_belt_tensioner_shaft,Body336,stl/rear/rear_belt_tensioner_shaft__Body336.stl,504,7.0,7.0,4.4
rear,rear_belt_tensioner_shim,Body337,stl/rear/rear_belt_tensioner_shim__Body337.stl,288,6.0,6.0,7.0
optionals,esc_capacitor_plate,Body338,stl/optionals/esc_capacitor_plate__Body338.stl,176,14.5,12.0,35.0
central,lipo_barrier_front_10mm001,Body340,stl/central/lipo_barrier_front_10mm001__Body340.stl,1876,8.0,40.0,27.0
central,lipo_lateral_blocker,Body341,stl/central/lipo_lateral_blocker__Body341.stl,646,160.0,4.0,13.8
central,lipo_barrier_rear003,Body342,stl/central/lipo_barrier_rear003__Body342.stl,1136,20.0,40.0,27.0
transmission,wheel_drive_shaft,Body346,stl/transmission/wheel_drive_shaft__Body346.stl,968,16.97106,14.392762,32.0
front,front_upperdeck,Body347,stl/front/front_upperdeck__Body347.stl,1000,108.299052,50.0,29.006226
ungrouped,drive_train_petcf001,Body348,stl/ungrouped/drive_train_petcf001__Body348.stl,1112,19.999981,19.0,30.0
ungrouped,pulley_petcf001,Body349,stl/ungrouped/pulley_petcf001__Body349.stl,10352,30.0,30.0,11.0
old,pulley_front001,Fusion005,stl/old/pulley_front001__Fusion005.stl,11384,30.0,30.0,30.0
front,drive_shaft_plastic_cap,Body350,stl/front/drive_shaft_plastic_cap__Body350.stl,484,13.5,10.5,6.0
ungrouped,drive_train_petcf002,Body351,stl/ungrouped/drive_train_petcf002__Body351.stl,1074,19.999981,18.999962,30.0
ungrouped,pulley_petcf002,Body352,stl/ungrouped/pulley_petcf002__Body352.stl,10376,30.0,30.0,11.0
transmission,pulley_front_capped,Fusion006,stl/transmission/pulley_front_capped__Fusion006.stl,11304,30.0,30.0,30.0
transmission,wheel_spring_holder_short,Body353,stl/transmission/wheel_spring_holder_short__Body353.stl,284,8.0,8.0,3.5
rear,rear_upperdeck,Body354,stl/rear/rear_upperdeck__Body354.stl,1988,99.392828,71.8826,60.400212
rear,rear_belt_tensioner_support_longer,Body355,stl/rear/rear_belt_tensioner_support_longer__Body355.stl,848,17.0,36.706411,4.0
optionals,double_fan_support,Body356,stl/optionals/double_fan_support__Body356.stl,2100,90.5,48.0,5.0
central,lipo_holder_lighter,Body357,stl/central/lipo_holder_lighter__Body357.stl,1974,162.0,8.0,27.0
front,pivot_ball_holder_lower_improved_steering,Body358,stl/front/pivot_ball_holder_lower_improved_steering__Body358.stl,606,28.2,14.0,11.0
front,pivot_ball_holder_upper_left_steering,Body359,stl/front/pivot_ball_holder_upper_left_steering__Body359.stl,828,36.2,14.0,12.0
front,pivot_ball_holder_upper_right_steering,Body360,stl/front/pivot_ball_holder_upper_right_steering__Body360.stl,832,36.2,14.0,12.0
